iter	Passed	Remaining
0	150	29906
1	159	15753
2	168	11053
3	177	8683
4	185	7239
5	194	6288
6	202	5578
7	211	5079
8	219	4666
9	227	4323
10	235	4041
11	243	3810
12	251	3616
13	259	3453
14	268	3312
15	276	3177
16	284	3062
17	293	2966
18	301	2870
19	310	2792
20	319	2719
21	327	2651
22	336	2590
23	344	2524
24	352	2465
25	361	2419
26	370	2372
27	378	2327
28	386	2279
29	394	2237
30	402	2194
31	411	2161
32	419	2124
33	429	2094
34	437	2062
35	446	2032
36	454	2001
37	462	1972
38	471	1946
39	479	1919
40	489	1896
41	497	1872
42	505	1846
43	513	1820
44	522	1798
45	529	1773
46	537	1751
47	546	1731
48	554	1709
49	562	1687
50	570	1667
51	579	1648
52	587	1629
53	595	1610
54	603	1590
55	611	1571
56	619	1554
57	627	1537
58	635	1519
59	644	1503
60	652	1486
61	661	1471
62	669	1456
63	677	1439
64	685	1423
65	693	1407
66	701	1392
67	709	1377
68	719	1365
69	727	1350
70	735	1335
71	743	1322
72	752	1309
73	761	1295
74	768	1281
75	776	1267
76	785	1254
77	793	1241
78	802	1228
79	810	1215
80	818	1202
81	826	1189
82	835	1177
83	843	1165
84	851	1152
85	860	1141
86	868	1128
87	876	1115
88	884	1103
89	892	1090
90	901	1079
91	909	1067
92	918	1056
93	926	1044
94	934	1032
95	941	1020
96	949	1008
97	957	996
98	965	985
99	974	974
100	982	962
101	990	951
102	998	940
103	1007	929
104	1015	918
105	1024	908
106	1032	897
107	1041	887
108	1049	875
109	1057	865
110	1065	853
111	1072	842
112	1080	832
113	1089	822
114	1098	811
115	1106	801
116	1115	791
117	1124	781
118	1132	770
119	1140	760
120	1148	749
121	1156	739
122	1164	728
123	1172	718
124	1180	708
125	1188	698
126	1197	688
127	1206	678
128	1215	668
129	1224	659
130	1232	649
131	1240	638
132	1247	628
133	1256	618
134	1264	609
135	1273	599
136	1281	589
137	1290	579
138	1298	569
139	1306	559
140	1314	549
141	1322	540
142	1330	530
143	1338	520
144	1347	511
145	1356	501
146	1364	492
147	1372	482
148	1380	472
149	1389	463
150	1398	453
151	1407	444
152	1416	435
153	1424	425
154	1432	415
155	1441	406
156	1449	396
157	1457	387
158	1466	378
159	1475	368
160	1483	359
161	1491	349
162	1499	340
163	1507	330
164	1516	321
165	1525	312
166	1533	302
167	1541	293
168	1550	284
169	1558	275
170	1566	265
171	1574	256
172	1583	247
173	1591	237
174	1599	228
175	1607	219
176	1616	210
177	1624	200
178	1632	191
179	1640	182
180	1648	173
181	1657	163
182	1666	154
183	1674	145
184	1683	136
185	1691	127
186	1699	118
187	1707	108
188	1715	99
189	1725	90
190	1734	81
191	1742	72
192	1750	63
193	1759	54
194	1768	45
195	1776	36
196	1784	27
197	1793	18
198	1801	9
199	1809	0
